incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
131818,2014-05-01,South Carolina,Bluffton,0,0,"Shots fired, no action (reported, no evidence found)",32.2578,-80.8729,,,,,,,
131536,2014-05-01,Louisiana,Baton Rouge,0,0,Armed robbery with injury/death and/or evidence of DGU found,30.4178,-91.0516,,0::40,0::Adult 18+,0::Male,,0::Unharmed,0::Subject-Suspect
131505,2014-05-01,Maryland,Capitol Heights,0,1,Shot - Wounded/Injured,38.9099,-76.9246,,,0::Adult 18+,0::Male,,0::Injured,0::Victim
131171,2014-05-01,Ohio,Elyria,0,0,Drug involvement||Domestic Violence||Possession (gun(s) found during commission of other crimes)||Brandishing/flourishing/open carry/lost/found,41.356,-82.1206,,0::24||1::29,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Unharmed||1::Unharmed,0::Victim||1::Subject-Suspect
137051,2014-05-01,North Carolina,Enfield,0,0,Shots Fired - No Injuries||Home Invasion||Home Invasion - No death or injury,36.2503,-77.8547,,1::37||2::29,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,,0::Unharmed||1::Unharmed||2::Unharmed,0::Victim||1::Subject-Suspect||2::Subject-Suspect
131166,2014-05-01,Ohio,Dayton,0,1,Shot - Wounded/Injured||Armed robbery with injury/death and/or evidence of DGU found||Brandishing/flourishing/open carry/lost/found,39.7675,-84.2536,,1::17,0::Teen 12-17||1::Teen 12-17,0::Male||1::Male,,0::Injured||1::Unharmed,0::Victim||1::Subject-Suspect
133508,2014-05-01,Delaware,Seaford,0,0,Shots Fired - No Injuries||Drug involvement||Home Invasion||Home Invasion - No death or injury||Armed robbery with injury/death and/or evidence of DGU found||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Defensive Use,38.6498,-75.5461,,0::37||1::27,0::Adult 18+||1::Adult 18+,0::Male||1::Female,,0::Unharmed||1::Unharmed,0::Victim||1::Victim
130994,2014-05-01,Wisconsin,Primrose,1,0,"Shot - Dead (murder, accidental, suicide)||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Defensive Use",42.865,-89.6705,,0::50,0::Adult 18+,0::Male,,0::Killed,0::Subject-Suspect
131846,2014-05-01,Alabama,Tallassee,0,1,Shot - Wounded/Injured,32.5304,-85.899,,1::21,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,0::Injured||1::Unharmed,0::Victim||1::Subject-Suspect
130981,2014-05-01,Illinois,Springfield,0,1,"Shots fired, no action (reported, no evidence found)||Brandishing/flourishing/open carry/lost/found",39.798,-89.6243,,0::21,0::Adult 18+,0::Male,,0::Injured,0::Victim
