incident_id,date,state,city_or_county,n_killed,n_injured,incident_characteristics,latitude,longitude,n_guns_involved,participant_age,participant_age_group,participant_gender,participant_relationship,participant_status,participant_type
861598,2017-06-01,Washington,Spokane,0,0,"Institution/Group/Business||Non-Shooting Incident||ATF/LE Confiscation/Raid/Arrest||Possession of gun by felon or prohibited person||Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)",47.6618,-117.39200000000001,2.0,,0::Adult 18+,0::Male,,"0::Unharmed, Arrested",0::Subject-Suspect
858437,2017-06-01,Virginia,Danville,2,0,"Shot - Dead (murder, accidental, suicide)||Possession of gun by felon or prohibited person",36.6161,-79.3986,1.0,0::21||1::20||2::29,0::Adult 18+||1::Adult 18+||2::Adult 18+,0::Male||1::Male||2::Male,,"0::Killed||1::Killed||2::Unharmed, Arrested",0::Victim||1::Victim||2::Subject-Suspect
857457,2017-06-01,West Virginia,Grafton,0,1,Shot - Wounded/Injured||Non-Aggression Incident||Accidental Shooting||Accidental Shooting - Injury||Accidental/Negligent Discharge,39.3408,-80.01899999999999,1.0,,1::Adult 18+,0::Male||1::Male,1::Family,0::Injured,0::Victim||1::Subject-Suspect
857082,2017-06-01,Indiana,Indianapolis,0,1,Non-Shooting Incident||Car-jacking||ATF/LE Confiscation/Raid/Arrest||Possession (gun(s) found during commission of other crimes)||Pistol-whipping,39.7629,-86.2065,1.0,0::26||1::34,0::Adult 18+||1::Adult 18+,0::Male||1::Male,,"0::Injured||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
857085,2017-06-01,Indiana,Indianapolis,0,1,Shot - Wounded/Injured||Institution/Group/Business||Officer Involved Incident||Armed robbery with injury/death and/or evidence of DGU found||ATF/LE Confiscation/Raid/Arrest,39.7374,-86.1413,1.0,1::24,0::Adult 18+||1::Adult 18+,0::Male||1::Male,1::Armed Robbery,"0::Injured||1::Unharmed, Arrested",0::Victim||1::Subject-Suspect
858227,2017-06-01,Texas,Houston,1,0,"Shot - Dead (murder, accidental, suicide)||Accidental Shooting||Accidental Shooting - Death||Accidental/Negligent Discharge",29.8151,-95.2032,1.0,0::17,0::Teen 12-17,0::Male,,0::Killed,0::Victim
859547,2017-06-01,Alabama,Huntsville,0,1,Shot - Wounded/Injured,34.7228,-86.5965,1.0,,0::Adult 18+,0::Male,,0::Injured,0::Victim
857884,2017-06-01,Georgia,Valdosta,0,1,Shot - Wounded/Injured,30.8584,-83.2809,1.0,,0::Adult 18+,0::Male,,0::Injured,0::Victim
857192,2017-06-01,North Carolina,Charlotte,0,1,Shot - Wounded/Injured||Drug involvement||LOCKDOWN/ALERT ONLY: No GV Incident Occurred Onsite,35.1152,-80.8564,1.0,0::17,0::Teen 12-17,0::Male,,"0::Injured, Arrested",0::Victim
857542,2017-06-01,California,Los Angeles,0,1,Shot - Wounded/Injured,34.0719,-118.21600000000001,1.0,,,0::Male,,0::Injured,0::Victim
858183,2017-06-01,Nevada,Las Vegas,1,0,"Shot - Dead (murder, accidental, suicide)||Suicide^||Officer Involved Incident||Officer Involved Shooting - subject/suspect/perpetrator killed||Officer Involved Shooting - subject/suspect/perpetrator suicide by cop||Drive-by (car to street, car to car)||Shootout (where VENN diagram of shooters and victims overlap)||Domestic Violence",36.1906,-115.038,2.0,0::27,0::Adult 18+,0::Male,,0::Killed,0::Subject-Suspect
857536,2017-06-01,Illinois,Peoria,0,0,Shots Fired - No Injuries||ShotSpotter,40.7161,-89.5613,1.0,,,,,,
858347,2017-06-01,Texas,Austin,0,1,Shot - Wounded/Injured||Armed robbery with injury/death and/or evidence of DGU found,30.4614,-97.7928,1.0,,0::Adult 18+,,,0::Injured,0::Victim
858342,2017-06-01,Texas,San Antonio,0,0,Non-Shooting Incident||Sex crime involving firearm||Kidnapping/abductions/hostage||Brandishing/flourishing/open carry/lost/found,29.5053,-98.3823,1.0,,0::Adult 18+,0::Male,,0::Unharmed,0::Subject-Suspect
